verb,je,tu,il/elle,nous,vous,ils/elles
être,suis,es,est,sommes,êtes,sont
avoir,ai,as,a,avons,avez,ont
parler,parle,parles,parle,parlons,parlez,parlent
s'appeler,m’appelle,t’appelles,s’appelle,nous appelons,vous appelez,s’appellent
payer,paie/paye,paies/payes,paie/paye,payons,payez,paient/payent
aller,vais,vas,va,allons,allez,vont
ouvrir,ouvre,ouvres,ouvre,ouvrons,ouvrez,ouvrent
finir,finis,finis,finit,finissons,finissez,finissent
partir,pars,pars,part,partons,partez,partent
dormir,dors,dors,dort,dormons,dormez,dorment
venir,viens,viens,vient,venons,venez,viennent
lire,lis,lis,lit,lisons,lisez,lisent
connaître,connais,connais,connaît,connaissons,connaissez,connaissent
écrire,écris,écris,écrit,écrivons,écrivez,écrivent
faire,fais,fais,fait,faisons,faites,font
dire,dis,dis,dit,disons,dites,disent
mettre,mets,mets,met,mettons,mettez,mettent
prendre,prends,prends,prend,prenons,prenez,prennent
boire,bois,bois,boit,buvons,buvez,boivent
savoir,sais,sais,sait,savons,savez,savent
voir,vois,vois,voit,voyons,voyez,voient
devoir,dois,dois,doit,devons,devez,doivent
pouvoir,peux,peux,peut,pouvons,pouvez,peuvent
vouloir,veux,veux,veut,voulons,voulez,veulent
